lr,ancho,prof,capas,error_l2
0.0005,50,5,"[2, 50, 50, 50, 50, 50, 1]",1.0556279061495548
0.0005,100,5,"[2, 100, 100, 100, 100, 100, 1]",1.0662001186718215
0.0005,100,3,"[2, 100, 100, 100, 1]",1.0739713883743847
0.001,100,3,"[2, 100, 100, 100, 1]",1.0842550924773586
0.0005,50,3,"[2, 50, 50, 50, 1]",1.10413064456608
0.0005,30,5,"[2, 30, 30, 30, 30, 30, 1]",1.1095757001372053
0.001,50,3,"[2, 50, 50, 50, 1]",1.1268623290074131
0.001,30,3,"[2, 30, 30, 30, 1]",1.1300227783306684
0.0005,30,3,"[2, 30, 30, 30, 1]",1.199803789314719
0.001,30,5,"[2, 30, 30, 30, 30, 30, 1]",1.2354134829975612
0.001,50,5,"[2, 50, 50, 50, 50, 50, 1]",1.2435098864423326
0.001,100,5,"[2, 100, 100, 100, 100, 100, 1]",1.3912597952934438
