number,value,datetime_start,datetime_complete,duration,params_batch,params_depth,params_lr,params_width,user_attrs_elapsed_s,user_attrs_lambda_bc_final,user_attrs_lambda_ic_final,state
0,0.504050813489803,2026-05-25 17:16:24.976175,2026-05-25 17:17:19.984855,0 days 00:00:55.008680,256,4,0.0004429649570464294,32,54.06113032999997,1.0,1.0,COMPLETE
1,0.7797522994857158,2026-05-25 17:17:20.009108,2026-05-25 17:17:32.189244,0 days 00:00:12.180136,384,2,0.00010711863369746439,64,12.04844230699996,1.0,1.0,COMPLETE
2,0.7472157260804533,2026-05-25 17:17:32.207142,2026-05-25 17:17:48.362405,0 days 00:00:16.155263,128,4,0.00016283591083632567,24,16.04098028700014,1.0,1.0,COMPLETE
3,0.5726525108995302,2026-05-25 17:17:48.377356,2026-05-25 17:18:45.451068,0 days 00:00:57.073712,256,4,0.0008019358005221843,32,56.976571266000064,1.0,1.0,COMPLETE
4,0.7224994578645052,2026-05-25 17:18:45.468533,2026-05-25 17:19:07.152974,0 days 00:00:21.684441,384,4,0.00020453166444527109,48,21.570364657000027,1.0,1.0,COMPLETE
5,0.3465147517111469,2026-05-25 17:19:07.170166,2026-05-25 17:19:33.357981,0 days 00:00:26.187815,256,2,0.0009219772166898655,48,26.07160170400016,1.0,1.0,COMPLETE
6,0.2950773433045669,2026-05-25 17:19:33.379994,2026-05-25 17:20:17.149330,0 days 00:00:43.769336,256,3,0.0016319488770709706,48,43.65215615300008,1.0,1.0,COMPLETE
7,0.6905847922162139,2026-05-25 17:20:17.169918,2026-05-25 17:20:41.931142,0 days 00:00:24.761224,256,2,0.000261661710093957,48,24.64184589399997,1.0,1.0,COMPLETE
8,0.3103752405355689,2026-05-25 17:20:41.950458,2026-05-25 17:20:59.915980,0 days 00:00:17.965522,384,3,0.0005927899351814248,64,17.848665495000205,1.0,1.0,COMPLETE
9,0.3390379866667037,2026-05-25 17:20:59.936904,2026-05-25 17:21:21.282622,0 days 00:00:21.345718,256,2,0.0007351072773753935,64,21.238246919999938,1.0,1.0,COMPLETE
