number,value,datetime_start,datetime_complete,duration,params_adaptive_beta,params_batch,params_depth,params_lr,params_width,user_attrs_elapsed_s,user_attrs_lambda_bc_final,user_attrs_lambda_ic_final,state
0,0.21420279927510258,2026-05-25 02:44:16.666854,2026-05-25 02:45:25.248525,0 days 00:01:08.581671,0.9241795083781862,256,4,0.0004429649570464294,32,67.76618059400062,1881.689020533374,99.33151629197481,COMPLETE
1,0.16773389087333826,2026-05-25 02:45:25.279734,2026-05-25 02:45:43.223624,0 days 00:00:17.943890,0.9258148841276792,384,2,0.001697776316333662,48,17.806635955988895,688.4897298305237,26.680692761474585,COMPLETE
2,0.1661285219166741,2026-05-25 02:45:43.253263,2026-05-25 02:46:15.394017,0 days 00:00:32.140754,0.8503530730876406,384,5,0.0005899745093938507,32,31.98840768900118,1145.110913251059,94.74263118124392,COMPLETE
3,0.14138315141174657,2026-05-25 02:46:15.424905,2026-05-25 02:46:49.936785,0 days 00:00:34.511880,0.7632496037584393,384,5,0.0010165558775187275,48,34.36496945899853,2945.5181535780357,1088.771544682827,COMPLETE
4,0.17520716572630987,2026-05-25 02:46:49.966417,2026-05-25 02:48:07.941518,0 days 00:01:17.975101,0.7959528863408636,256,3,0.0006954241509602925,32,77.84668349199637,588.7778680522529,25.639260115379823,COMPLETE
5,0.7831452569870159,2026-05-25 02:48:07.966084,2026-05-25 02:48:49.089087,0 days 00:00:41.123003,0.8311195375454121,128,2,0.00014555846498659253,32,40.985513955005445,1593.9577627740573,63.892544095893,COMPLETE
6,0.3989910882338971,2026-05-25 02:48:49.109503,2026-05-25 02:49:46.183338,0 days 00:00:57.073835,0.8122175317668101,256,3,0.002772008541489717,80,56.91944686700299,163984.2852655669,149189.9706849981,COMPLETE
7,0.16856704040571038,2026-05-25 02:49:46.205425,2026-05-25 02:50:30.734557,0 days 00:00:44.529132,0.7706669123668571,128,2,0.0010540598859361222,80,44.39116475400806,219.32959597121,23.950921802930065,COMPLETE
8,0.2737990410455655,2026-05-25 02:50:30.757788,2026-05-25 02:51:51.116852,0 days 00:01:20.359064,0.9323668064278199,256,4,0.00026760109804616593,32,80.24436779899406,10778.110010026776,77.09681626754241,COMPLETE
9,0.3663688705352715,2026-05-25 02:51:51.136994,2026-05-25 02:52:32.574983,0 days 00:00:41.437989,0.9596047825337367,128,2,0.0007096664019682281,80,41.32147480599815,493.5083132181336,9.047952377504267,COMPLETE
10,0.17004846480700472,2026-05-25 02:52:32.596462,2026-05-25 02:53:03.139795,0 days 00:00:30.543333,0.7599010005526972,384,5,0.0010131768934240443,24,30.406391855998663,563.1704966162919,24.980958881807915,COMPLETE
11,0.16667453299864632,2026-05-25 02:53:03.164464,2026-05-25 02:53:35.678087,0 days 00:00:32.513623,0.8633807225936131,384,5,0.00036588850979657424,48,32.3728448109905,532.5977383975675,46.6302536706875,COMPLETE
12,0.13363543854101784,2026-05-25 02:53:35.701266,2026-05-25 02:55:13.726997,0 days 00:01:38.025731,0.823452811950816,128,5,0.0008070631339671162,32,97.89482337300433,1405.467065011323,346.5627956141625,COMPLETE
13,0.23702851570697447,2026-05-25 02:55:13.754453,2026-05-25 02:56:44.739571,0 days 00:01:30.985118,0.809545926347018,128,5,0.002072954143220555,32,90.85424743799376,270028.6493403891,170078.30133874158,COMPLETE
14,0.18245028765730587,2026-05-25 02:56:44.759659,2026-05-25 02:57:12.211288,0 days 00:00:27.451629,0.7596278084796768,384,4,0.00032972888512041424,48,27.314630940993084,1202.7460136467218,56.33468427137186,COMPLETE
15,0.43274494467680147,2026-05-25 02:57:12.234241,2026-05-25 02:57:47.367071,0 days 00:00:35.132830,0.773867806520418,384,5,0.0023858066216163537,48,34.99486685199372,771634.6815919739,574475.8027822867,COMPLETE
16,0.24229521682905825,2026-05-25 02:57:47.390480,2026-05-25 03:00:29.254792,0 days 00:02:41.864312,0.7996305367917231,128,5,0.00022355025588298295,64,161.72789817700686,3481.654671541531,169.94861292610545,COMPLETE
17,0.2000425317165377,2026-05-25 03:00:29.275323,2026-05-25 03:00:49.375189,0 days 00:00:20.099866,0.8563844584693576,128,4,0.00047770120114453026,24,19.88680652299081,3804.92210029105,173.18286859634915,COMPLETE
18,0.42137604423057057,2026-05-25 03:00:49.397132,2026-05-25 03:02:25.932087,0 days 00:01:36.534955,0.8738046015098512,256,5,0.001623465491988595,80,96.39199937200465,473442.69291216903,286367.7791418702,COMPLETE
19,0.18712402568765005,2026-05-25 03:02:25.953086,2026-05-25 03:03:40.557042,0 days 00:01:14.603956,0.8271167842888885,128,4,0.0009163672694220479,48,74.46211607799341,415.13587290859584,337.29417940926845,COMPLETE
