optimizador,familia,lr,momentum,error_l2,tiempo_s,lambda_ic_final,lambda_bc_final
adam_lr5e-4,adam,0.0005,0.9,0.1671674662842051,68.63118389500596,44.254334096425985,714.14709490115
adamw_lr5e-4,adamw,0.0005,0.9,0.1671674662842051,71.72295735600346,44.254334096425985,714.14709490115
adam_lr5e-4+lbfgs_10,adam+lbfgs,0.0005,0.9,0.16724393744838378,69.13437356000941,44.254334096425985,714.14709490115
adam_lr1e-3,adam,0.001,0.9,0.1763403454762344,69.25889790499059,26.971936839917042,131.12193084801117
adamw_lr1e-3,adamw,0.001,0.9,0.1763403454762344,68.92093540000496,26.971936839917042,131.12193084801117
adam_lr2e-3,adam,0.002,0.9,0.1837868690962969,72.77295835300174,47.735253861468316,188.52916669124784
adamw_lr2e-3,adamw,0.002,0.9,0.1837868690962969,76.85792692900577,47.735253861468316,188.52916669124784
sgd_lr1e-4_m0.9,sgd,0.0001,0.9,0.22092435170416455,70.58086641599948,36.366381785769704,126.61868962796153
sgd_lr3e-5_m0.5,sgd,3e-05,0.5,0.22198923422725547,70.37080282499664,134.53968039733448,811.6985158014156
sgd_lr1e-5_m0.0,sgd,1e-05,0.0,0.5297539826506683,69.76882213100907,307.30003085587146,1904.4970400690756
